Unit#,Sale Date,Sq Ft,Beds,Baths,Partial Baths,Price,Price/sq ft
313,15-Oct-19,"1,119",2,2,0,"$740,000 ",$661 
208,26-Sep-19,"1,095",2,2,0,"$655,000 ",$598 
111,16-Sep-19,728,1,1,0,"$510,000 ",$701 
132,4-Sep-19,728,1,1,0,"$515,000 ",$707 
319,19-Aug-19,"1,239",2,2,0,"$765,000 ",$617 
204,15-Aug-19,773,1,1,0,"$515,000 ",$666 
110,15-Aug-19,"1,119",2,2,0,"$650,000 ",$581 
305,5-Aug-19,773,1,1,0,"$535,000 ",$692 
305,30-Jul-19,773,1,1,0,"$530,000 ",$686 
124,19-Jul-19,"1,058",2,2,0,"$627,000 ",$593 
219,18-Jul-19,"1,058",2,2,0,"$640,000 ",$605 
103,17-Jul-19,"1,058",2,2,0,"$650,000 ",$614 
316,28-Jun-19,728,1,1,0,"$485,000 ",$666 
211,28-Jun-19,"1,119",2,2,0,"$635,000 ",$567 
203,25-Jun-19,"1,058",2,2,0,"$645,000 ",$610 
301,6-Jun-19,728,1,1,0,"$550,000 ",$755 
109,31-May-19,728,1,1,0,"$506,000 ",$695 
216,6-May-19,773,1,1,0,"$505,000 ",$653 
113,30-Apr-19,"1,119",2,2,0,"$655,000 ",$585 
210,9-Apr-19,"1,095",2,2,0,"$639,000 ",$584 
302,2-Apr-19,"1,239",2,2,0,"$700,000 ",$565 
221,22-Mar-19,773,1,1,0,"$510,000 ",$660 
112,20-Mar-19,"1,095",2,2,0,"$625,000 ",$571 
207,20-Mar-19,773,1,1,0,"$515,000 ",$666 
211,18-Mar-19,728,1,1,0,"$475,000 ",$652 
310,15-Feb-19,"1,239",2,2,0,"$630,000 ",$508 
310,15-Feb-19,"1,095",2,2,0,"$655,000 ",$598 
120,4-Feb-19,728,1,1,0,"$452,000 ",$621 
205,8-Jan-19,773,1,1,0,"$475,000 ",$614 
106,27-Dec-18,773,1,1,0,"$480,000 ",$621 
214,26-Nov-18,"1,119",2,2,0,"$625,000 ",$559 
101,6-Nov-18,728,1,1,0,"$485,000 ",$666 
305,29-Oct-18,773,1,1,0,"$505,000 ",$653 
308,29-Oct-18,"1,239",2,2,0,"$660,000 ",$533 
110,19-Oct-18,"1,095",2,2,0,"$640,000 ",$584 
314,16-Oct-18,773,1,1,0,"$550,000 ",$712 
201,11-Oct-18,728,1,1,0,"$488,000 ",$670 
121,9-Oct-18,"1,119",2,2,0,"$625,000 ",$559 
109,20-Sep-18,"1,119",2,2,0,"$660,000 ",$590 
